Cluster under investigation,Location,Total to date,New cases in last 24 hours,Current active cases,Origin,Status
Wedding,Bluff,98,0,0,Overseas exposure,Open
Marist College,Auckland,96,0,0,Unknown,Open
Hospitality Venue,Matamata,77,0,0,Overseas exposure,Open
Aged residential care facility (1),Christchurch,56,0,0,Unknown,Open
Aged residential care facility (1),Auckland,51,0,1,Unknown,Open
Private Function,Auckland,40,0,0,Unknown,Closed
World Hereford Conference,Queenstown,39,0,0,Overseas exposure,Open
Community,Auckland,30,0,0,Unknown,Open**
Ruby Princess Cruise Ship Cluster,Hawkeâ€™s Bay,24,0,0,Overseas exposure,Open
Aged residential care facility (2),Christchurch,19,0,0,Unknown,Closed
Group travel to US,Wellington,16,0,0,Overseas exposure,Closed
Group travel to US,Auckland,16,0,0,Overseas exposure,Closed
Aged residential care facility,Waikato,15,0,0,Overseas exposure,Open
Community,Christchurch,14,0,0,Overseas exposure,Closed
Aged residential care facility (2),Auckland,13,0,0,Overseas exposure,Closed
Wedding,Wellington,13,0,0,Overseas exposure,Closed
